full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,75894,75894,12228,22,22,3,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,52735,52735,8465,55,55,6,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9650,9650,14625,0,0,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1771,1771,2600,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,53373,53373,4650,10,10,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65538,65538,6524,13,13,1,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30505,30505,3456,10,10,-1,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37035,37035,3108,7,7,0,https://github.com/musistudio/claude-code-router
Donchitos/Claude-Code-Game-Studios,24765,24765,3544,12,12,0,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24802,24802,2872,7,7,1,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3292,3292,3814,0,0,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8775,8775,2112,0,0,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2334,2334,3528,0,0,0,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12549,12549,2041,2,2,-2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3877,3877,2053,3,3,0,https://github.com/liuup/claude-code-analysis
ykdojo/claude-code-tips,10014,10014,809,4,4,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1548,1548,2994,0,0,1,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,10016,10016,1231,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9617,9617,721,2,2,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,792,792,1758,0,0,-1,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2817,2817,2456,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,4157,4157,820,1,1,0,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,15628,15628,1362,18,18,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6054,6054,571,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,5873,5873,770,5,5,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
huangserva/claude-code-cli,627,627,1305,0,0,0,https://github.com/huangserva/claude-code-cli
nicedreamzapp/claude-code-local,3255,3255,621,1,1,-1,https://github.com/nicedreamzapp/claude-code-local
OneRedOak/claude-code-workflows,3892,3892,563,0,0,0,https://github.com/OneRedOak/claude-code-workflows
anthropics/claude-code-security-review,6146,6146,668,4,4,0,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2581,2581,922,1,1,1,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4598,4598,462,0,0,0,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3740,3740,489,0,0,1,https://github.com/1rgs/claude-code-proxy
